species,units,type,ref,measure,method,min.len,max.len,int,slope,quad,source,comment
White Crappie,English,linear,75,TL,RLP,4,NA,-3.618,3.332,NA,Neumann and Murphy (1991),none
White Crappie,metric,linear,75,TL,RLP,100,NA,-5.642,3.332,NA,Neumann and Murphy (1991),none
White Perch,English,linear,75,TL,RLP,3,NA,-3.373,3.136,NA,Bister et al. (2000),none
White Perch,metric,linear,75,TL,RLP,80,NA,-5.122,3.136,NA,Bister et al. (2000),none
White Sturgeon,English,linear,75,FL,RLP,27.5,NA,-3.912,3.232,NA,Beamesderfer (1993),fork length
White Sturgeon,metric,linear,75,FL,RLP,700,NA,-5.795,3.232,NA,Beamesderfer (1993),fork length
White Sucker,English,linear,75,TL,RLP,4,NA,-3.282,2.94,NA,Bister et al. (2000),none
White Sucker,metric,linear,75,TL,RLP,100,NA,-4.755,2.94,NA,Bister et al. (2000),none
Yellow Bass,English,linear,75,TL,RLP,2.75,NA,-3.398,3.133,NA,Bister et al. (2000),none
Yellow Bass,metric,linear,75,TL,RLP,70,NA,-5.142,3.133,NA,Bister et al. (2000),none
Yellow Bullhead,English,linear,75,TL,RLP,2.5,NA,-3.491,3.232,NA,Bister et al. (2000),none
Yellow Bullhead,metric,linear,75,TL,RLP,60,NA,-5.374,3.232,NA,Bister et al. (2000),none
Yellow Perch,English,linear,75,TL,RLP,4,NA,-3.506,3.23,NA,Willis et al. (1991),none
Yellow Perch,metric,linear,75,TL,RLP,100,NA,-5.386,3.23,NA,Willis et al. (1991),none
